user_id,n_chosen,n_rejected,mean_chosen_length,mean_rejected_length,length_pref_ratio,chosen_length_std,length_score_corr,length_score_p,prefers_longer
user572,14,25,71.92857142857143,66.6,1.0800085800085801,41.58891384854912,0.14247634341195936,0.38690607663487925,True
user573,32,39,74.5625,59.282051282051285,1.2577584342560553,38.30056910477963,-0.05411752891817288,0.6539821019073498,True
user574,19,27,118.0,105.4074074074074,1.1194659170765988,44.108717362539814,0.5177673365534525,0.00022851268582400875,True
user575,13,21,112.53846153846153,102.80952380952381,1.0946307050985142,53.960976476047215,0.09026292075739858,0.6116844171071399,True
user576,27,36,134.2962962962963,103.58333333333333,1.2965048717261107,68.15549477308532,0.2899835572110034,0.021146448161835536,True
user577,25,36,55.24,55.80555555555556,0.9898656047784967,22.915985686851872,-0.0036922345538178067,0.9774701155569305,False
user578,12,23,59.75,47.65217391304348,1.2538777372262775,37.74061693542736,-0.15363744271219842,0.378226069852597,True
user579,17,26,64.76470588235294,61.0,1.0617164898746383,28.143601115298377,0.27317774507316334,0.07632059298516652,True
user58,14,25,82.07142857142857,82.64,0.9931199004287097,36.71991340970627,0.1799939782856622,0.2728707630195781,False
user580,26,34,115.92307692307692,107.05882352941177,1.0827979712595097,67.448512030644,0.06393305564513128,0.6274615814723196,True
user581,20,32,108.5,75.375,1.439469320066335,44.03578090598599,0.33339050589905894,0.01572596685413255,True
user582,12,23,105.08333333333333,67.21739130434783,1.5633354894351013,59.997858758088654,0.2751286818806242,0.10968412478648884,True
user583,24,33,91.75,84.06060606060606,1.0914744051910599,62.40409308157065,0.06589575531039825,0.6262512598554628,True
user584,32,39,114.59375,81.51282051282051,1.4058371343189682,81.01730500909976,0.05475038403666452,0.6501983561684092,True
user586,17,29,65.94117647058823,68.6896551724138,0.9599870068509331,59.97202346607889,0.045471187492413814,0.7641249213163888,False
user587,6,9,103.16666666666667,91.55555555555556,1.1268203883495147,44.93482935195024,0.11659235027169318,0.6790193042310054,True
user588,12,16,118.75,120.8125,0.9829280910501811,33.60834469790699,-0.1315683255930795,0.5045399621236197,False
user589,28,36,141.21428571428572,131.61111111111111,1.0729662907797142,71.18153710401171,-0.13126870751054395,0.3011668644744595,True
user59,15,26,101.4,65.76923076923077,1.5417543859649123,52.0292225580971,0.4794819792002647,0.001514097714974898,True
user591,23,32,150.47826086956522,123.53125,1.218139222824712,47.597834774664854,0.4276792669443763,0.001126318210804093,True
user592,16,26,138.75,102.0,1.3602941176470589,50.19897907328395,0.2816581941914258,0.07075485289448098,True
user593,26,34,128.07692307692307,105.02941176470588,1.219438640329147,79.17406484688468,0.20265995952724522,0.1204379108259017,True
user594,13,25,49.84615384615385,59.52,0.8374689826302729,37.02981367211717,0.3055679564026832,0.06209391685998364,False
user595,25,35,120.28,95.68571428571428,1.2570319498357718,88.8087923575138,0.00011249505354085153,0.9993193629789485,True
user596,21,32,86.38095238095238,75.5,1.1441185745821507,45.70034509661949,0.14018053531348776,0.31675467443439603,True
user597,18,26,91.16666666666667,70.1923076923077,1.298812785388128,39.35204357251772,0.10208759661468497,0.5096363992853487,True
user598,29,39,114.79310344827586,83.05128205128206,1.3821954413345965,52.73314688148035,0.3521576163754521,0.0032285361790928124,True
user599,13,23,96.92307692307692,71.6086956521739,1.353509878100042,50.768648015303455,0.5258748480340993,0.0009879292461358298,True
user6,10,16,107.5,89.6875,1.1986062717770034,46.4612741969051,0.4215717894502668,0.03195222839241418,True
user60,18,30,149.88888888888889,98.63333333333334,1.5196575419623746,54.34548830184003,0.36932315525977993,0.009784855644977403,True
user600,16,25,82.9375,72.84,1.1386257550796266,67.11973326638001,0.3513129086125131,0.024305711082811647,True
user601,18,28,87.72222222222223,80.85714285714286,1.0849038084020417,37.22873077425187,0.16039400869232587,0.2869574684618704,True
user602,17,27,62.294117647058826,67.92592592592592,0.9170889729937778,24.443848512535958,-0.01664785656599989,0.914584579834739,False
user603,15,26,90.33333333333333,75.76923076923077,1.1922165820642976,54.76576383918049,0.39723711389097655,0.010120475166497982,True
user604,18,25,49.833333333333336,65.52,0.7605820105820107,23.255226413766767,-0.2378029889838465,0.12464874383027978,False
user605,24,32,94.33333333333333,77.15625,1.2226272444984474,43.17277948996206,0.056645401845155645,0.6783850292018119,True
user606,26,37,109.5,84.5945945945946,1.294408945686901,74.73041292127733,0.08294190234008392,0.5181091413926496,True
user607,20,30,100.15,70.66666666666667,1.4172169811320754,40.26819464540222,0.507753142689934,0.00016729501854826997,True
user608,14,25,72.28571428571429,62.84,1.1503137219241613,30.417167547828203,0.09577169798816991,0.5619344653633234,True
user609,32,43,146.84375,108.13953488372093,1.3579099462365591,84.99636366302678,0.2746429499764302,0.01709868912706666,True
user61,18,30,119.55555555555556,90.56666666666666,1.3200834253465834,55.65690754995907,0.3704649409602783,0.009543441560035166,True
user610,12,23,107.66666666666667,86.65217391304348,1.2425154708145174,45.96254513792241,0.33284264224747484,0.050734261252747305,True
user611,19,30,80.15789473684211,68.86666666666666,1.1639578132164876,59.715345077066495,0.05185677695687536,0.723440206580787,True
user612,35,45,149.42857142857142,114.73333333333333,1.302398937494812,76.43196254159109,0.36196793212015776,0.0009695437356109836,True
user613,22,30,138.3181818181818,99.96666666666667,1.3836430325259934,130.19090401254348,0.10749060471472498,0.4481608211450713,True
user614,19,30,118.10526315789474,93.96666666666667,1.2568846735497843,58.875331923831006,0.29457045624513173,0.03991801772468957,True
user615,19,29,81.57894736842105,77.06896551724138,1.0585187801719063,38.02674376011217,0.2665057678568288,0.06709951030859679,True
user616,29,40,141.3793103448276,99.35,1.4230428821824619,77.23649923007567,0.3945052510263953,0.000795675053116335,True
user617,21,29,72.95238095238095,70.06896551724138,1.041151106111736,41.41023129898972,-0.12588338277475597,0.38370584021209814,True
user618,20,30,99.6,93.73333333333333,1.062588904694168,49.97839533238338,-0.3251952835052302,0.02120348486716197,True
user619,26,37,58.30769230769231,57.891891891891895,1.0071823601235366,23.817849206601387,-0.11442908700548872,0.37185548885362085,True
user62,15,26,77.86666666666666,70.42307692307692,1.1056981612961951,26.732917702504697,0.2848410768805713,0.07106415604221519,True
user620,19,28,115.0,90.17857142857143,1.2752475247524753,64.98339868968964,0.24041393741778644,0.10357013936154187,True
user621,23,32,79.04347826086956,74.875,1.055672497640996,56.030642440092784,0.0218817928410881,0.8740066729201813,True
user622,26,36,77.15384615384616,70.05555555555556,1.1013237357408652,34.54060298312509,0.07463771310689002,0.5642483325578465,True
user623,35,43,67.0,64.25581395348837,1.0427072023163229,52.205090063818766,-0.08336394327301706,0.4680668297176831,True
user624,16,26,92.25,73.03846153846153,1.2630331753554502,63.60964942522479,0.3448892912279114,0.025298712041783265,True
